Date/Time,Media Description,Media Link
"You uploaded a feed photo on August 28, 2026 at 9:31 PM (GMT)","Remember this? I read a lot of my blog posts to categorize them thematically on what I was sharing on #ExploratoryTesting. It was all manual work. I did not find time to continue on side of work for *five years*. 

Today it was one request to update for today's scale. Perhaps you find the updated version useful: https://lnkd.in/dHg4pyN ",
"You uploaded a feed photo on August 28, 2026 at 7:47 PM (GMT)","Thanks robots, for 2.04M blog hits.  ? 
I think the summary of what did I come to on twitter on #ExploratoryTesting with me quoting me is worth a chance of joining the robots. 
https://lnkd.in/dCCRDQ3E",
"You uploaded a feed photo on August 27, 2026 at 4:51 PM (GMT)","Ask a tester on state of your transformation, and a coverage metric comes out. While I sampled 6% of the organization for actuals, the analysis drives a continuous growth and change, and would feel wrong to make snapshot of today. 

Funny observations through - asking to generate the demo data, it decided that TEST was behind DEV and that is decidedly not true for my corner of the world. 

I track SOMEONE and EVERYONE coverage. Community takes everyone along for the ride.  ",
"You uploaded a feed photo on August 21, 2026 at 5:31 AM (GMT)","As I left an agent reading through a particular internal web site to explore for patterns of information I had in mind, I used the unattended time of 30 minutes to think through my experiences and aspirations in the AI-space. Most things I ask don't free up 30 minutes, but I set them up more as botsitting. Knowing what I would learn without learning each step through exploring isn't the case. Tasks such as ""write test cases"", if they go any deeper than appearance of documentation and target results, are a lot more complex than the surface says. And while those of us deeper than the surface are now doing world favors by writing that into skills, figuring it out is still kind of short loop. 

I have been categorizing things. Doing things alone, prompt engineering, will up your skill. Doing things with the team is socially a lot more challenging - avoided files do not change the experience. The unattended side of longer requests introduce a new challenge on filling the freed time. 

We are building systems around AI for people to remain accountable. In level of details that entails, it's definitely a journey. ",
"You uploaded a feed photo on August 17, 2026 at 8:29 AM (GMT)","I've seen a four leaf clover. Now I also know that likelihood of a four leaf clover is 1 in 10 000, and that the Guinness world record of single stem with leafs is 63. I thought about clovers, because I was thinking about how we set expectations for testing. 

I believe we should not teach testing as easy with things everyone can find. I have been in teams where it is like that, and called those team pizza box teams. Your job as tester in a team should not be reminding that big visible items of trash of any kind should not be lying around. If it is, your 1st item of business is to have conversations that change the idea of how we deal with basics, and building a foundational culture of quality. 

So today I am suggesting that instead 'kicking tires' and finding out things with intuition that anyone with care and time could go for, testing is more like hunt of the four leaf clovers. They are there even when you don't find them. There are techniques of directing attention that make the hunt rewarding, and exploratory means you continuously learn and adapt the hunt, while tracking the coverage. 

Would people take a job as four leaf clover hunters if they never saw one? Or would they need a field that made the hunt rewarding, changing the odds? But also, if there was already a pile of recently found ones, would adding one more to the pile be rewarding to anyone? ",
"You uploaded a feed photo on August 14, 2026 at 6:20 PM (GMT)","Met up with Marko ""NarsuMan"" Rintam?ki today to talk about the great testing course he runs at JAMK. Realizing the mindmap of me exploratory testing on an earlier target they had is already 11 years old (!), I could not resist a bit of testing. 

So for a Friday evening, I spawned up PrestaShop locally on my machine, and fixed the issues I ended up with Colima (my Mac docker tool) not supporting something this was relying on, and dealing with redirects that wouldn't work, all within setting up my docker compose file. This part Narsu called ""ops"", and I expect testers to be able to do this, particularly with these nicely containerized web things, but also with what used to be installing the whole windows machine back in my starting days. 

It was very obvious that how I explore has changed in 11 years. The first thing I did is add two Playwright tests to remind myself where the main page and admin page are located. An the second thing was touring the UI, listing problems. I would be foolish to not use AI for this work, but also I would be foolish if I stopped here. 

The interesting part starts after this, and I have options: 
- I think I will inject a fuller agentic playwright framework into my exploratory project, to support continuously documenting my insights so that changing the latest of PrestaShop still allows me to be in control
- I would list areas / features I would investigate deeper. Most likely I would start with taking control over the data, because the defaults will hide all the interesting problems. 
- I would revisit the open source projects known issues list, and see if I can score some insight into what they actually care about. 

The meta I set out to explore though, is if we need injected bugs for teaching. My theory of teaching says no. Our production versions are target rich enough without injecting anything. Let's talk about that after I spend a few hours going deeper. 

Getting here, git tells me took less than 2 hours. 
1 hour ago   Initial commit
https://lnkd.in/dn7_538V 

This is exploratory testing. ",
"You uploaded a feed photo on August 14, 2026 at 5:18 AM (GMT)","It's been four years since I last run a workshop on designing test ideas specific to a small batch. Building iteratively and incrementally in small batches and related testing skills were (are) a skill that was needed, and the simulation exercise of doing this showed how wide a gap was built between increments and end-in-mind planning. 

When our attentions move and shift, we do other things than we used to. Many of the games and exercises around agile are no longer around, as they lived with their instructors. The marshmallow challenge has lived long, and I still occasionally see people playing elephant carpaccio. 

Modern training feels a lot like recorded talks available on a platform, and competition of platforms. ",
"You uploaded a feed photo on August 13, 2026 at 7:33 PM (GMT)","Is testing really that hard? Honestly, I don't know. It does not feel easy and I might be going about trying to make sense of it the wrong way. I may still be learning to figure out what the right way is. 

If it was easy and fit the few days people like to schedule for it, I would not be watching the loading... indefinitely for adding an image to my post on LinkedIn. How did I add the picture then? A workaround, because there are always many ways do try and do the ""same but different"". 

If it was easy, people testing https://lnkd.in/dNxry3id would easily figure out the 37 inputs and the 65 bugs *that I know of*, on an application as simple as one text field all logic in frontend. 

But I do make it harder in my head, trying to figure out how to make space for it and explain it to people. I would like more software to work when we use it. ",
"You uploaded a feed photo on August 13, 2026 at 6:02 PM (GMT)","Tein jutun, jonka olen tehnyt *monta* kertaa testausp??llik?n roolissa monitoimittajaprojekteissa, mutta t?ll? kertaa visuaalisesti vibekoodaamalla. 

Selitin samaa asiaa kuin mist? julkaisin ensimm?isen akateemisen artikkelini vuonna 2003: yksikk?-, integraatio-, j?rjestelm?- (end-to-end), ja hyv?ksymistestaus sellaisenaan tarkoittavat paljon v?hemm?n kuin ajateltiin. 
https://lnkd.in/d8vhQ4SH

Ne on ehk? V-mallin vesiputoukseen tuomat vastinparit, mutta ne olisi fiksua pilkkoa ihan toisella tapaa, ettei testaus olisi sen vesiputouksen lopussa julkaisun edess? kaikkine vaiheineen, aikamoisen teatterin kanssa. 

Ehdotin siis ett? *integraatiotestaus* itse asiassa sis?lt?? toteutusta ja inkrementaalista j?rjestelm?testausta. Ensimm?isess? testaajakulma on kevyt osallistuminen katselmointien kautta, ja toisessa toteutuksen aikana syntyv?n automaation t?ydent?minen niin ett? testaus ei ala toteutuksen loputtua. Ehdotin ett? ""end-to-end testaus"" on merkitt?v?sti pienempi kuin mihin se meinaa livahtaa, ja ett? sit? ajatellaan inkrementaalisena j?rjestelm?testauksena kolmannen osapuolen j?rjestelm?n kanssa. Lis?ksi toin n?kyviin ett? ""end-to-end testaus"" tarvitsee kokoavaa j?rjestelm?testausta, jota ei ole suunniteltu ja luvattu, ja jonka odotukset kolmannen osapuolen toimesta ovat varsin merkitt?v?t - niinkuin usein on kun kokonaisuuteen tulee sen oman j?rjestelm?n osan lis?ksi tusinan verran muita. Ja ehdotin erotettavaksi *hyv?ksymistestauksessa* kaksi eri hyv?ksymistestausta vaikka ne saattavat tapahtua sovitusti samassa kalenteriajassa: sen osan josta toimitusvastuu, ja sen j?rjestelm?n johon osa liittyy.

Mit? opin? No ainakin sen ett? visuaalisesti itselleni askeleet on nyt todella selvi? ja oikeaan aikaan pystyy viem??n loppuun hallitusti haluamiaan osia. Ja ett? kaikki muut toivoo ett? testaus voisi olla suoraviivaisempaa ja helpompaa. 

Jutellaan siit? uudestaan sitten kun t?m?n oivalluksen projektit p??tyy onnistumaan aikataulussa ja laadussa, kun taas ilman t?t? t?rm?t??n keskusteluun testauksesta pullonkaulana ja laadusta ongelmana.   ",
"You uploaded a feed photo on August 13, 2026 at 8:49 AM (GMT)","Comfort in concepts. That is, I have found it difficult to describe what my work is, and Pia Kiviranta posting on concepts of Interim and Fractional made some sense in how I could think about it. 

Right now I am: 
- Fractional as AI-enhanced application testing Director, managing a team of 9 testers
- Fractional for two significant clients in a role of bridging QA change
- Interim and Fractional Director of Consulting, managing a team of 12 developer
- Consultant in particular gigs

I have found it difficult to wrap my head around the juggling and explaining it, and I am appreciating the words. It's career growth for me to be considered for roles that are fractional, and mutually supportive. And being trusted with a role that is both interim and fractional from June onwards fits me well. 

Being a fractional tester with 10-20% allocation takes a different perspective. This is usually something for management roles, but I can see the requests of this increasing. Not sure if I could make that make sense. ",
