Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-08-28 21:31:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7499217228882657280,"Remember this? I read a lot of my blog posts to categorize them thematically on what I was sharing on #ExploratoryTesting. It was all manual work. I did not find time to continue on side of work for *five years*. ""
""""
""Today it was one request to update for today's scale. Perhaps you find the updated version useful: https://lnkd.in/dHg4pyN","","",MEMBER_NETWORK
2026-08-28 19:47:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7499190993502576641,"Thanks robots, for 2.04M blog hits.  🤣 ""
""I think the summary of what did I come to on twitter on #ExploratoryTesting with me quoting me is worth a chance of joining the robots. ""
""https://lnkd.in/dCCRDQ3E","","",MEMBER_NETWORK
2026-08-28 18:55:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7499177882162827264,"Friday fun - building a second brain. That is, I have been taking public notes long enough to learn from what I learn. ""
""""
""While I was on twitter, I wrote down 33551 things. ""
""While I am on mastodon, I wrote down 4885 things. ""
""""
""When I needed long format, I wrote blog post. 951 of them. ""
""""
""When I called my blog Seasoned Tester's Crystal Ball and wrote down my unchanged vision of why it exists it was this: ""
""""
""*This blog is about thinking of things past, present and future in testing. As much as I'd like to see clearly, my crystal ball is quite dim. Learning is essential and this is my tool for that. *""
""""
""I had no idea what I could do turning that to a second brain today. So maybe I talk about that with some people next week.","","",MEMBER_NETWORK
2026-08-28 13:33:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7499096935052582912,"Task expansion, the idea that AI enables us to do work that was *someone else's* or never done before is a significant source of fascination for me. Now that I have been collecting stories of AI in use in one on one conversations, it always leaves me warm and fuzzy when people explain a thing they can now do for their work they couldn't before. ""
""""
""While I love all the new things we can do and do, delegating the work and sharing it with the team around has also become a barrier. We delegate to AI, not to our colleagues. We opt to hang out with a generator, rather than our colleague. ""
""""
""One of the stories I collected was around building data collection scripts. It happened to be one of those tasks I delegated to a professional developer, whereas the colleague I talked to had an amazing learning experience around task expansion on not needing to delegate but getting the creating assistance from AI. ""
""""
""When I asked a dev, they gave me the script in less than 2 hours. When a new person asks AI, they learn for a week. I would encourage that week as experience, but not as new task. ""
""""
""Laughing at myself for saying out loud that there is this old wisdom of ""10 years of experience, or 10 times a year of experience"". We have to be careful not to think slow doing of work others have perfected for decade is the ultimate best choice.","","",MEMBER_NETWORK
2026-08-28 09:17:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7499032422941003776,"Three prompts on eprime. ""That brings the verified, reproduced total to 31 distinct issues (all confirmed live via Playwright,  axe-core, or the W3C validator — nothing here is speculative).""""
""""
""I asked an AI harness three times, insisting to try better. It moved from 4 to 29 to 31. I know 65 right now. That is 48% for AI today. ""
""""
""Human's need to be significantly better. This message was inspired by pairing with a random person who I needed to sync future visions with. I don't generate ""test cases to jira"". I generate the relevant feedback.","","",MEMBER_NETWORK
2026-08-27 16:51:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7498784260255014912,"Ask a tester on state of your transformation, and a coverage metric comes out. While I sampled 6% of the organization for actuals, the analysis drives a continuous growth and change, and would feel wrong to make snapshot of today. ""
""""
""Funny observations through - asking to generate the demo data, it decided that TEST was behind DEV and that is decidedly not true for my corner of the world. ""
""""
""I track SOMEONE and EVERYONE coverage. Community takes everyone along for the ride.","","",MEMBER_NETWORK
2026-08-27 14:23:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7498747125892227072,"Just kun me päästiin siihen että viedään asioita tuotantoon jatkuvasti, pienissä palasissa, ei nyt *tekoälyn* takia luovuta siitä mikä on oikeasti vienyt asiat parempaan. ""
""""
""Tarvitsin tän muistutuksen tänään ja *arvostan* suuresti sitä tiimiläistä joka sen lausui, sopivalla antaumuksella. Paremmin ei voisi kiteyttää. <3","","",MEMBER_NETWORK
2026-08-25 15:48:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7498043572210909184,"I find myself using words like workslop, botsitting and botshitting too often for my liking. At the same time, I find it hilarious how we are quite comfortable coming to work to do botsitting for our daily test automation runs that are notoriously flaky, but can go to lengths in conversation of exactly the same phenomena when AI joins the field. ""
""""
""Workslop is when some with good intentions tries to ease your work by prompting before you, without quite noticing that the prompted product needs redoing. ""
""""
""Botsitting is all the extra work we do in figuring out how to talk context to machines in files and prompts so that the great slot machine gives us what we wanted. Every prompt is practice, and every bad output is feedback. Waiting gives choice of what to do while waiting. ""
""""
""Botshitting is when we get too tired to look at what comes through and let it through, all the way to production. ""
""""
""AI generates new types of work.","","",MEMBER_NETWORK
2026-08-25 06:59:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7497910410751340544,"""Onko meillä mallipohjaa testaussuunnitelmalle?"". Mallipohjien kysely erilaisille dokumenteille on ollut arkipäivää vuosikymmeniä, ja tykästyin aikanaan ajatukseen testiohjatusta dokumentoinnista, joka perustui Marko Komssin julkaisemaan tutkimukseen katsemoinneista, ja siitä että miettien tilannekohtaisesti kolme tärkeintä sääntöä pystyi tehostamaan katsemointeja löytämään ne dokumenttien keskeisimmät virheet. ""
""""
""Tekoälyaikakauden ""mallipohja"" on konteksti. Missä muodossa konteksti kerätään, ja missä se säilötään niin sijainnin kuin sisällönkin osalta niin että voidaan optimoida vastaukset perustuen siihen mitä jo paikallisesti tiedettiin? ""
""""
""Toistaiseksi edustan itse git-first -koulukuntaa, jonka mielestä ohjelmoinnin tekoälykäytössä kaikki tarpeellinen saa sijaita versionhallinnassa tekstitiedostoissa. Siitä voi sitten julkaista statustietoa, muotoiltuja dokumentteja tms. Perinteisesti tiedon virtaus on ollut toisin päin. ""
""""
""Mallipohjat löytyvät nyt erilaisista open source -kehikoista ""spec-driven developmentille"". Uskoja siitä että user storyt ja gherkin nyt on vaan ne oikean muotoiset tekstimuotoilut generatiiviselle tekoälylle kontekstia syötettäessä on kovin yleisiä. Meillä on ""constitution"" - perustuskirjaa ja ties mitä hienon nimistä asiakirjaa, ja käytännöt ovat vasta muotoutumassa. ""
""""
""Väitän että olen kokeillut monia muotoja. Sen sijaan en väitä että olisin löytänyt hyvän ""mallipohjan"". Toistaiseksi parhaat säännöt ovat jokseenkin nämä kaksi: ""
""""
""1. Kielimallille puhutaan eri tavalla kuin ihmiselle. Kielimallille tarkoitettu teksti on ihmiselle luettavaa, mutta aikaa tuhlaavaa. Ymmärrä koska *yleisösi*, etenkin kun se on pääasiassa kone.""
""2. Tehtävänannon koko on tehokkuusvaikutuksen kulmakivi. Sen muuttaminen on oppimisen tulos.","","",MEMBER_NETWORK
2026-08-21 08:40:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7496486269477335040,"""Verkostoja on rakentamassa pääasiassa ihmiset jotka ei keksi parempaa tekemistä"" on varsin raflaava lausahdus. Mä nimittäin luulen että täällä linkkarissa on verkostoja rakentamassa monia sellaisia joilla on parempaakin tekemistä, mutta on kovin sääli jos ei maailmalle onnekkaan sattuman kautta tarjoa mahdollisuutta yhdistää reittejä.  ""
""""
""Videolla vähän myöhemmin jätetään nää onnekkaat sattumat tapahtumille, mutta somea suurempaa tapahtumaa jossa sattumalle luodaan mahdollisuuksia ei ole. Niinkuin sanonta taitaa kuulua, ""ei sua kukaan kotisohvalta lähde töihin hakemaan"". ""
""""
""Kiitos verkostoitumisesta -viestit tuntuu hassulta, ja tunnin lounastapaamiseen silmäkkäin menee kaksi. Sattumalle annetaan tilaisuuksia kukin tavallaan. Itse suosin konferenssipuhumista, se nostaa oikeanlaisen sattuman todennäköisyyksiä suhteessa ihan vaan tapahtuma-osallistumisiin. ""
""""
""Parempaa tekemistä on jokaisen itse päätettävä arvovalinta. AIka ei kaikkeen riitä.","","",MEMBER_NETWORK
